title,link,excerpt,published_at,funding_round,money_raised,Company,money_raised_float,linkedin_link
"iPhone Game House ngmoco Raises $25 Million Series C, Buys Freeverse",https://techcrunch.com/2010/02/22/ngmoco-25-million-series-c-buys-freeverse/,"Neil Young, the CEO of iPhone game startup ngmoco, wants to ""amass enough scale"" to accelerate ""away from the pack."" He just raised a $25 million series C round and acquired Freeverse, another top iPh...",2010/02/22,Series C,$25 M,House ngmoco,25.0,https://www.linkedin.com/company/in-the-house-llc
Visible Measures Raises $10 Million Series C Funding To Track Online Videos,https://techcrunch.com/2009/03/25/visible-measures-raises-10-million-series-c-funding-to-track-viral-videos/,"Viral video tracking and measurement firm Visible Measures has closed a $10 million series C round of funding, led by Northgate Capital. Existing investors Mohr Davidow and General Catalyst also parti...",2009/03/25,Series C,$10 M,Visible Measures,10.0,https://www.linkedin.com/company/visible-measures
"Harry?s Raises $75.6 Million In Series C, Valued At $750 Million Post Money",https://techcrunch.com/2015/07/07/harrys-raises-75-6-million-in-series-c-valued-at-750-million-post-money/,"Harry's, the direct-to-consumer mens' razor company, has just announced the close of a $75.6 million Series C funding round led by Wellington Management. A source confirmed with TechCrunch that the co...",2015/07/07,Series C,$75.6 M,Harry's,75.6,https://www.google.com/url?q=https://www.linkedin.com/company/harry%2527s&sa=U&ved=0ahUKEwiMhJ_js4DWAhWGjlQKHcsqCCIQFggWMAE&usg=AFQjCNEeiGUxbCvLvHbMbEDqUCzB9UjSvA
"Vuze Raises $20M More in Series C, Brings Aboard TiVo Co-Founder Ramsay",https://techcrunch.com/2007/12/18/vuze-raises-20m-more-in-series-c-brings-aboard-tivo-co-founder-ramsay/,"BitTorrent-based video distribution service Vuze, which we last covered in June and was previously known as Azureus, has raised $20M in a Series C round of funding led by New Enterprise Associates (NE...",2007/12/18,Series C,$20 M,Vuze,20.0,https://www.linkedin.com/company/vuze-camera
AppNexus Raises A Meaty $50 Million Series C For Realtime Ad Bidding Platform,https://techcrunch.com/2010/10/05/appnexus-raises-a-whopping-50-million-series-c-for-realtime-ad-bidding-network/,"Realtime ad bidding network AppNexus today announced that it raised $50 million in a Series C financing. Investors include Microsoft, Venrock, Kodiak Venture Partners and First Round Capital. The roun...",2010/10/05,Series C,$50 M,AppNexus,50.0,https://www.linkedin.com/company/appnexus
Descartes Labs raises $30 million Series B for its brand of geospatial analytics,https://techcrunch.com/2017/08/24/descartes-labs-raises-30-million-series-b-for-its-brand-of-geospatial-analytics/,"Descartes Labs is announcing a $30 million Series B this morning in a large round led by March Capital. This comes just three months after one of Descartes' largest competitors, Orbital Insight, close...",2017/08/24,Series B,$30 M,Descartes Labs,30.0,https://www.linkedin.com/company/descartes-labs
On-demand staffing startup HourlyNerd lands $22 million Series C,https://techcrunch.com/2016/07/05/on-demand-staffing-startup-hourlynerd-lands-22-million-series-c/,"HourlyNerd, a Boston-based startup, aspires to be more than an on-demand staffing service for skilled employees. It wants to be a full-service platform for large companies to change the way they think...",2016/07/05,Series C,$22 M,HourlyNerd,22.0,https://www.linkedin.com/company/hourlynerd
Big data analytics platform Databricks raises $140M Series D round led by Andreessen Horowitz,https://techcrunch.com/2017/08/22/big-data-analytics-platform-databricks-raises-140m-series-d-round-led-by-andreessen-horowitz/,"Databricks, a big data analytics platform built by a team that grew out of the Apache Spark project, today announced that it has raised a $140 million Series D round led by Andreessen Horowitz, with p...",2017/08/22,Series D,$140 M,Databricks,140.0,https://www.linkedin.com/company/databricks
Cadre collects $65 million in Series C funding,https://techcrunch.com/2017/06/06/cadre-collects-65-million-in-series-c-funding/,"Cadre, a three-year-old, New York-based real estate startup, has raised $65 million in Series C funding led by Andreessen Horowitz. Famed VC Jim Breyer of Breyer Capital also joined the round, along w...",2017/06/06,Series C,$65 M,Cadre,65.0,https://www.linkedin.com/company/cadre-technologies-inc
Pendo closes $25M Series C from Meritech to scale its customer understanding platform,https://techcrunch.com/2017/07/13/pendo-series-c/,"Just seven months after announcing a $20 million Series B, Pendo, a platform to help businesses better understand their customers, has closed a new $25 million Series C led by Meritech Capital Partner...",2017/07/13,Series C,$25 M,Pendo,25.0,https://www.linkedin.com/company/pendo-io
ClassPass secures $70 million Series C led by Temasek,https://techcrunch.com/2017/06/16/classpass-secures-70-million-series-c-led-by-temasek/,"ClassPass, the subscription service that for fitness classes and gyms, has today announced the close of a $70 million Series C funding round led by Temasek. Existing investors such as Acequia Capital,...",2017/06/16,Series C,$70 M,ClassPass,70.0,https://www.linkedin.com/company/classpass
Entelo steps up its AI game with $20M Series C ,https://techcrunch.com/2017/06/15/entelo-steps-up-its-ai-game/,"The race to crown a winner in the AI-powered recruiting software space is on. With both Workey and Mya nabbing rounds in the last few weeks, the timing is prime for a few players to seek advantage in ...",2017/06/15,Series C,$20 M,Entelo,20.0,https://www.linkedin.com/company/dobrekrzeslo
Shopify Raises $100M To Drop The ?E? And Become The Commerce Company That Spans On- And Offline,https://techcrunch.com/2013/12/11/shopify-100-million-series-c/,"Ottawa-based Shopify has already raised a considerable amount of money, especially for a Canadian company, and its Series C round continues that theme: The e-commerce company has raised $100 million f...",2013/12/11,Series C,$100 M,Shopify,100.0,https://www.linkedin.com/company/shopify
ZeroFox secures $40m Series C to help manage social media risk,https://techcrunch.com/2017/07/12/zerofox-secures-40m-series-c-to-help-manage-social-media-risk/,"ZeroFox, a startup that helps companies manage social media risk including scams, malicious links and account hijacking, announced a $40 million Series C investment today. The round was led by Redline...",2017/07/12,Series C,$40 M,ZeroFox,40.0,https://www.linkedin.com/company/zerofox
Breather raises $40 million for stylish workspaces on-demand,https://techcrunch.com/2016/12/07/breather-raises-40-million-for-stylish-workspaces-on-demand/,"A mobile app that lets users find and book stylish workspaces on-demand, Breather, raised a Series C round of $40 million. The funding brings Breather's total capital raised to $73 million. Menlo Vent...",2016/12/07,Series C,$40 M,Breather,40.0,https://www.linkedin.com/company/breather
Clearpath Raises $11.2 Million To Automate Warehouses In A Decidedly Non-Creepy Way,https://techcrunch.com/2015/03/18/clearpath-raises-11-2-million-to-automate-warehouses-in-a-decidedly-non-creepy-way/,"Unlike the robots in Five Nights At Freddy's, Clearpath's new products won't sneak up on you in the dark while you're guarding an abandoned warehouse. In fact, their products are aimed at making wareh...",2015/03/18,,$11.2 M,Clearpath,11.2,https://www.linkedin.com/company/clearpath-robotics
Orbital Insight closes $50M Series C led by Sequoia,https://techcrunch.com/2017/05/02/orbital-insight-closes-50m-series-c-led-by-sequoia/,"This morning, Orbital Insight, a geospatial analytics startup, announced it had completed raising a $50 million Series C round of financing from Sequoia. The fresh capital brings the company's total f...",2017/05/02,Series C,$50 M,Orbital Insight,50.0,https://www.linkedin.com/company/orbital-insight-inc-
Korean e-book service Ridibooks scores $20M Series C,https://techcrunch.com/2017/06/15/korean-e-book-service-ridibooks-scores-20m-series-c/,"E-book sales may be declining in the U.S. and U.K., but in South Korea, many people still enjoy swiping instead of leafing through their reading material. E-book sales there are growing steadily each ...",2017/06/15,Series C,$20 M,Ridibooks,20.0,https://www.linkedin.com/company/ridibooks
Sift Science raises $30 million to predict and prevent fraud everywhere online,https://techcrunch.com/2016/07/19/sift-science-raises-30-million-to-predict-and-prevent-fraud-everywhere-online/,"To predict and prevent fraud online even more quickly than cybercriminals adopt new tactics, Sift Science has raised $30 million in a Series C round of venture funding in a round led by Insight Ventur...",2016/07/19,Series C,$30 M,Sift Science,30.0,https://www.linkedin.com/company/sift-science
"Classy raises $30 million to help nonprofits raise donations, make a greater impact",https://techcrunch.com/2016/11/01/classy-raises-30-million-to-help-nonprofits-raise-donations-make-a-greater-impact/,"A San Diego startup called Classy has raised $30 million for software-as-a-service that helps nonprofits raise donations online, and keep supporters engaged in a good cause for the long run. Specifica...",2016/11/01,,$30 M,Classy,30.0,https://www.linkedin.com/company/stayclassy
VTS raises $55M for its commercial real estate management platform,https://techcrunch.com/2016/05/04/vts-raises-55m-for-its-commercial-real-estate-management-platform/20/,"VTS, a commercial leasing and asset management platform for landlords and brokerages, today announced that it has raised a $55 million Series C funding round led by Insight Venture Partners. Previous ...",2016/05/04,Series C,$55 M,VTS,55.0,https://www.linkedin.com/company/view-the-space
Jay-Z backed JetSmarter raises $105 million to become Uber for private jets,https://techcrunch.com/2016/12/12/jay-z-backed-jetsmarter-raises-105-million-to-become-uber-for-private-jets/3/,"JetSmarter has raised $105 million in Series C funding, at a $1.5 billion pre-money valuation, to build its marketplace for private jet services, according to Sergey Petrossov, the startup's founder a...",2016/12/12,Series C,$105 M,backed JetSmarter,105.0,https://www.linkedin.com/company/jetsmarter
Momenta raises $46M Series B for its self-driving car software,https://techcrunch.com/2017/07/25/momenta-raises-46m-series-b-for-its-self-driving-car-software/,"Beijing-based Momenta announced this morning that it raised a $46 million Series B round led by NIO Capital. Momenta produces self-driving car software that applies deep learning to mapping, path plan...",2017/07/25,Series B,$46 M,Momenta,46.0,https://www.linkedin.com/company/momenta-pharmaceuticals
Canada?s Assent Compliance raises $31.4M Series B round to help businesses stay in compliance,https://techcrunch.com/2017/07/14/canadas-assent-compliance-raises-31-4m-series-b-round-to-help-businesses-stay-in-compliance/,"Assent Compliance, an Ottawa-based startup, isn't in a sexy space. The company focuses on helping enterprises collect the necessary data to keep their global supply chains in compliance with local and...",2017/07/14,Series B,$31.4 M,Assent Compliance,31.4,https://www.linkedin.com/company/assent-compliance-inc
BrightFarms raises $30.1 million to set up futuristic greenhouses across the U.S.,https://techcrunch.com/2016/09/21/brightfarms-raises-30-1-million-to-set-up-futuristic-greenhouses-across-the-u-s/,"Agriculture tech startup BrightFarms has raised $30.1 million in Series C funding to bring its high-tech greenhouses, and fresh produce, across the U.S. The company is on a mission to make all fresh f...",2016/09/21,Series C,$30.1 M,BrightFarms,30.1,https://www.linkedin.com/company/brightfarms
Snapsheet raises $20 million for app to help drivers file claims after a crash,https://techcrunch.com/2016/10/17/snapsheet-raises-20-million-for-app-to-help-drivers-file-claims-after-a-crash/,A Chicago-based startup called Snapsheet has raised a Series C round of $20 million to make life easier for people who have been through a car crash. The company?s cloud-based software is used by auto...,2016/10/17,Series C,$20 M,Snapsheet,20.0,https://www.linkedin.com/company/bodyshopbids-com
"Gladly, incubated at Greylock, nabs $36 million in Series C funding",https://techcrunch.com/2017/04/20/gladly-incubated-at-greylock-nabs-36-million-in-series-c-funding/,"There's no shortage of customer service startups trying to meet the changing expectations of consumers, who want to Tweet, phone, text and use Facebook Messenger, among other newer ways to get their p...",2017/04/20,Series C,$36 M,Gladly,36.0,https://www.linkedin.com/company/gladly-inc
Midokura raises $20M Series B round for its network virtualization platform,https://techcrunch.com/2016/06/08/midokura-raises-20m-series-b-round-for-its-network-virtualization-platform/,Network virtualization specialist Midokura today announced it has raised a $20 million Series B round with participation from Japanese fintech company Simplex and existing investors like Allen Miner a...,2016/06/08,Series B,$20 M,Midokura,20.0,https://www.linkedin.com/company/midokura
Rubrik snares $61 million Series C led by Khosla Ventures,https://techcrunch.com/2016/08/16/rubrik-snares-61-million-series-c-led-by-khosla-ventures/,"In a year where money is harder to come by, especially from conventional venture capital sources, Rubrik is a notable exception, announcing a $61 million Series C round from several brand-named Silico...",2016/08/16,Series C,$61 M,Rubrik,61.0,https://www.linkedin.com/company/rubrik-inc
Encrypted comms company Silent Circle closes $50M Series C,https://techcrunch.com/2016/07/15/encrypted-comms-company-silent-circle-closes-50m-series-c/,"Encrypted comms company Silent Circle, which also makes a security-focused Android smartphone called the Blackphone, has announced it's closed a $50 million Series C round of financing, led by Santand...",2016/07/15,Series C,$50 M,Silent Circle,50.0,https://www.linkedin.com/company/silent-circle
Confirmed: Flipboard Raises Another $50 Million To Close Out Its Series C Round,https://techcrunch.com/2013/12/09/flipboard-raises-another-50m/,"Flipboard has confirmed that it raised an additional $50 million, which will close out the Series C round of financing that it brought on in September. In addition to the new funding, Flipboard is als...",2013/12/09,Series C,$50 M,Flipboard,50.0,https://www.linkedin.com/company/flipboard-inc-
Rancher Labs raises $20M Series B round for its container management platform,https://techcrunch.com/2016/05/09/rancher-labs-raises-20m-series-b-round-for-its-container-management-platform/,"Rancher Labs, a container management platform that supports both Kubernetes and Docker Swarm, today announced that it has raised a $20 million Series B round. This new funding round was led by new inv...",2016/05/09,Series B,$20 M,Rancher Labs,20.0,https://www.linkedin.com/company/rancher
Moglix raises $12M Series B to digitize India?s manufacturing industry,https://techcrunch.com/2017/07/06/moglix-raises-12m-series-b-to-digitize-indias-manufacturing-industry/,"Moglix launched in 2015 as an online store for tools and construction supplies, but now it?s venturing into enterprise software with the launch of GreenGST to help Indian manufacturers become complian...",2017/07/06,Series B,$12 M,Moglix,12.0,https://www.linkedin.com/company/moglix
Carbon raises $81 million for international expansion of its rapid 3D-printing tech,https://techcrunch.com/2016/09/15/carbon-3d-raises-81-million-for-international-expansion-of-its-rapid-3-d-printing-tech/,"Large manufacturers of high-tech products, from luxury vehicles to elastomers and resins, have lined up to invest in and partner with Carbon (formerly known as Carbon 3D) the Redwood City, Calif. comp...",2016/09/15,,$81 M,Carbon,81.0,https://www.linkedin.com/company/carbon
Online Game Developer Perfect World Buys C&C Media For $21 Million,https://techcrunch.com/2010/03/26/online-game-developer-perfect-world-buys-cc-media-for-21-million/,"Perfect World, a NASDAQ-listed online game developer and operator based in China, has agreed to acquire C&C Media, a Japanese online game operator from computer and video game developer ATLUS. Perfect...",2010/03/26,,$21 M,Perfect World,21.0,https://www.google.com/url?q=https://www.linkedin.com/company/perfect-world&sa=U&ved=0ahUKEwjR66bBtYDWAhVCxlQKHcs5D1gQFggZMAE&usg=AFQjCNFhbpnzHTJi73OVGnxDT-YcDWXFNg
Rinse raises $14M in Series B funding to bring its laundry pick-up nationwide,https://techcrunch.com/2017/06/21/rinse-raises-14m-in-series-b-funding-to-bring-its-laundry-pick-up-nationwide/,"Rinse, the San Francisco-based dry cleaning and laundry delivery service, has closed a $14M Series B round of funding. This comes after a $6M Series A last year, meaning the startup has now raised abo...",2017/06/21,Series B,$14 M,Rinse,14.0,https://www.linkedin.com/company/rinse
Chinese Airbnb Rival Xiaozhu Closes $60M Series C Round,https://techcrunch.com/2015/07/10/xiaozhu-series-c/,"Is there something in the water for peer-to-peer rental websites right now? Fresh from U.S. juggernaut Airbnb raising $1.5 billion and China's Tujia taking in $250 million last month, Xiaozhu -- anoth...",2015/07/10,Series C,$60 M,Rival Xiaozhu,60.0,https://www.google.com/url?q=https://www.linkedin.com/pulse/airbnb-said-talks-buy-china-home-rental-rival-xiaozhu-xiao&sa=U&ved=0ahUKEwj-l9nJtYDWAhWO-lQKHeDBBEgQFggaMAE&usg=AFQjCNGK4hn4foyh4LIk1EFC7WE2H4SMig
"Elevance Raises $100 Million More To Make Chemicals And Fuel From Plant Oils, Poultry Fat",https://techcrunch.com/2010/12/21/elevance-series-c-100-million/,"Elevance Renewable Sciences? a Chicago area company that uses soybean-, corn- and sunflower oils, poultry fat and other feedstock from renewables to make jet fuel, diesel and specialty chemicals? has ...",2010/12/21,,$100 M,Elevance,100.0,https://www.linkedin.com/company/elevance-renewable-sciences-inc-
Managed By Q lands $30 million in Series C funding,https://techcrunch.com/2016/12/16/managed-by-q-lands-30-million-in-series-c-funding/,"Managed By Q, a service that automates office management, has raised $30 million in Series C funding, according to SEC filings. Managed By Q started off as a NY-based platform that let office administ...",2016/12/16,Series C,$30 M,By Q,30.0,https://www.linkedin.com/company/managed-by-q
Postmates Picks Up $35M In Series C From Spark Capital,https://techcrunch.com/2015/02/20/moneymates/,"Postmates, the on-demand delivery service that operates in nearly 60 markets, has raised $35 million in Series C exclusively from existing investor Spark Capital, according to our sources. Postmates i...",2015/02/20,Series C,$35 M,Postmates,35.0,https://www.linkedin.com/company/postmates
"Push Doctor, an app that lets you video call a doctor, raises $26.1M Series B",https://techcrunch.com/2017/07/05/push-doctor-series-b/,"Push Doctor, a U.K.-based startup that lets you book a video consultation with a doctor and manage other aspects of your health digitally, has raised $26.1 million in Series B funding. Leading the rou...",2017/07/05,Series B,$26.1 M,Push Doctor,26.1,https://www.linkedin.com/company/pushdr
Sun Basket cooks up another $15 million for gluten-free and paleo meal kits,https://techcrunch.com/2017/02/17/sun-basket-cooks-up-another-15-million-for-gluten-free-and-paleo-meal-kits/,"Meal kit delivery startups, at this point, are nothing new. They send pre-measured ingredients in an insulated package right to a subscriber?s door, and promise to alleviate the inconvenience of groce...",2017/02/17,,$15 M,Sun Basket,15.0,https://www.linkedin.com/company/sun-basket
"Iyzico, a Turkish online payments company and potential Stripe competitor, closes $15M Series C",https://techcrunch.com/2017/04/03/iyzico-a-turkish-online-payments-company-and-potential-stripe-competitor-closes-15m-series-c/,"Iyzico, the Turkish fintech startup to let e-commerce sites and other apps easily accept online payments, has closed $15 million in a Series C round, $13 million of which was announced earlier this ye...",2017/04/03,Series C,$15 M,Iyzico,15.0,https://www.linkedin.com/company/iyzi-payments
Ioxus Closes Series C At $21 Million To Bring Its Ultracapacitors To China,https://techcrunch.com/2014/04/07/ioxus-closes-series-c-at-21-million-to-bring-its-ultracapacitors-to-china/,"The International Finance Corporation, the investment arm of the World Bank, has agreed to commit $5 million to round out a $21 million Series C financing for the ultracapacitor manufacturer Ioxus. Ac...",2014/04/07,Series C,$21 M,Ioxus,21.0,https://www.google.com/url?q=https://www.linkedin.com/in/philip-meek-76b8a914&sa=U&ved=0ahUKEwiqkNTttYDWAhXpxVQKHQWMDM4QFggZMAE&usg=AFQjCNHqmbhljwPll_f15n0mqEbPAesNCw
Travel Search Site Wego Closes $17M Series C,https://techcrunch.com/2013/06/24/travel-search-site-wego-closes-17m-series-c/,"Travel search site, Wego, just closed its Series C round of $17 million. The round was led by Crescent Point, a fund manager with offices in Singapore and China that focuses on investments in Asia. We...",2013/06/24,Series C,$17 M,Site Wego,17.0,https://www.linkedin.com/company/wego-com
Flash Sales Site SportPursuit Scores £9.5M Series C,https://techcrunch.com/2015/11/22/flash-sales-site-sportpursuit-scores-9-5m-series-c/,"SportPursuit, the flash sales site for 'premium' outdoor and sports gear, has raised £9.5 million in Series C funding. Investors this time around are Scottish Equity Partners (SEP), Grafton Capital, a...",2015/11/22,Series C,$12.3 M,Site SportPursuit,12.3,https://www.linkedin.com/company/sportpursuit
Healthcare booking platform DocPlanner raises ?15M Series D,https://techcrunch.com/2017/05/23/docplanner-d/,"DocPlanner, the European online booking platform for healthcare appointments, has raised ?15 million in Series D funding, just ten months after announcing a larger Series C round of $20 million (~?18m...",2017/05/23,Series D,$17.8 M,DocPlanner,17.8,https://www.linkedin.com/company/docplanner
Cogito closes $15M Series B to improve customer support with science,https://techcrunch.com/2016/11/18/cogito-closes-15m-series-b-to-improve-customer-support-with-science/,"Cogito, a real-time feedback platform for customer service agents, added $15 million to its coffers today in the form of a Series B. This brings the company's total fundraising to $22.5 million. The M...",2016/11/18,Series B,$15 M,Cogito,15.0,https://www.linkedin.com/company/cogito-corp-
InVision Prototyping Tool Lands $45 Million In Series C Led By Accel,https://techcrunch.com/2015/07/14/invision-prototyping-tool-lands-45-million-in-series-c-led-by-accel/,"InVision, the prototyping tool that boasts clients like Uber, Twitter, and Airbnb, has today announced the close of a $45 million Series C round of funding. The round was led by Accel, alongside parti...",2015/07/14,Series C,$45 M,Prototyping Tool,45.0,https://www.google.com/url?q=https://www.linkedin.com/pulse/ultimate-collection-prototyping-tools-uxui-designers-anne-e&sa=U&ved=0ahUKEwiRwZ6PtoDWAhVox1QKHTnDDXIQFggaMAE&usg=AFQjCNH4nTS9dblSMRlSWGkB110NkNWB5Q
Distil scores $21 million Series C to crush bad bots,https://techcrunch.com/2016/08/02/distil-shoots-for-profitability-after-21-million-series-c-raise/,"Distil Networks, a company that helps discover and eradicate bad bots, announced a $21 million Series C round today. Funders include new investor Silicon Valley Bank along with previous participants B...",2016/08/02,Series C,$21 M,Distil,21.0,https://www.linkedin.com/company/distil
"China?s Miyabaobei, An Online Store For Baby Products, Scores $60M Series C",https://techcrunch.com/2014/12/15/chinas-miyabaobei-an-online-store-for-baby-products-scores-60m-series-c/,"Miyabaobei, a Chinese site that sells formula, clothes, and other items for babies and toddlers, has raised a $60 million Series C round from H Capital, with participation from returning investors Seq...",2014/12/15,Series C,$60 M,Miyabaobei,60.0,https://www.google.com/url?q=https://www.linkedin.com/in/bowengui&sa=U&ved=0ahUKEwj8ibWjtoDWAhVJlVQKHXUOA3wQFggbMAE&usg=AFQjCNEFiqxiafUFkrdSf91OG7Ii6p5VZw
Yoyo Wallet raises £12M Series B led by Metro Group to expand in Europe,https://techcrunch.com/2017/06/25/yoyo-wallet-raises-12m-series-b-led-by-metro-group-to-expand-in-europe/,"The race to digitise the loyalty card just got a shot in the arm with the news that Yoyo Wallet, the European-based mobile payment and customer loyalty platform, has raised a £12 million Series B roun...",2017/06/25,Series B,$15.5 M,Yoyo Wallet,15.5,https://www.linkedin.com/company/yoyo-wallet
3D Robotics Taps Qualcomm For $50M Series C And Mobile Tech,https://techcrunch.com/2015/02/26/3d-robotics-taps-qualcomm-for-50m-series-c-and-mobile-tech/,The race to build the best drone is on and 3D Robotics is today announcing its latest round of financing that it hopes will enable the company to keep its commanding position in the marketplace. As pa...,2015/02/26,Series C,$50 M,3D Robotics,50.0,https://www.linkedin.com/company/3d-robotics
InvenSense Takes $19 Million Series C,https://techcrunch.com/2008/04/28/invensense-takes-19-million-series-c/,"InvenSense has taken $19 million Series C in a round led by Sierra Ventures with previous investors Artiman Ventures, Partech International and Qualcomm Ventures also participating. Strategic investor...",2008/04/28,Series C,$19 M,InvenSense,19.0,https://www.google.com/url?q=https://www.linkedin.com/company/invensense-inc/careers&sa=U&ved=0ahUKEwixwti5toDWAhVoilQKHVt7BSwQFggWMAE&usg=AFQjCNE-q0k3FGklsHtMIZhx4DHmKUSP9g
Greenplum Takes $27 Million Series C,https://techcrunch.com/2008/01/21/greenplum-takes-27-million-series-c/,"Database software provider Greenplum has taken $27 million Series C is a round led by Meritech Capital Partners that included Sun Microsystems and SAP Ventures.

Greenplum leverages open source databa...",2008/01/21,Series C,$27 M,Greenplum,27.0,https://www.linkedin.com/company/greenplum
Unisfair Takes $10 Million Series C,https://techcrunch.com/2008/01/20/unisfair-takes-10-million-series-c/,"Virtual events firm Unisfair has taken $10 million Series C in a round led by Norwest Ventures.

Unisfair powers virtual corporate events such live Expos, Trade Shows, & Conferences ""that use rich med...",2008/01/20,Series C,$10 M,Unisfair,10.0,https://www.linkedin.com/company/unisfair
Showpad closes $50M Series C to keep growing its SaaS sales productivity platform,https://techcrunch.com/2016/05/19/showpad-closes-50m-series-c-to-keep-growing-its-saas-sales-productivity-platform/,"SaaS startup Showpad which has built a platform designed to improve other businesses' sales productivity has closed a $50 million Series C funding round, led by Insight Venture Partners -- with Insigh...",2016/05/19,Series C,$50 M,Showpad,50.0,https://www.linkedin.com/company/showpad
Pentaho Takes $12 Million Series C,https://techcrunch.com/2008/02/21/pentaho-takes-12-million-series-c/,"Open source Business Intelligence firm Pentaho has taken $12 million Series C in a round led by Benchmark Capital. Previous investors Index Ventures and New Enterprise Associates also participated.

P...",2008/02/21,Series C,$12 M,Pentaho,12.0,https://www.linkedin.com/company/pentaho
Demand Media Takes $100 Million Series C,https://techcrunch.com/2007/09/25/demand-media-takes-100-million-series-c/,"Domain holding company Demand Media has taken $100 million Series C funding in a round led by Goldman Sachs that included 3i Group, Generation Partners, Oak Investment Partners and Spectrum Equity Inv...",2007/09/25,Series C,$100 M,Demand Media,100.0,https://www.linkedin.com/company/leafgroup
Sequoia Leads Trulia's $10 Million Series C,https://techcrunch.com/2007/05/24/sequoia-leads-trulias-10-million-series-c/,Real estate search engine Trulia joins an elite Silicon Valley Club today with the announcement of $10m Series C funding in a round headed by Sequoia Capital. Trulia moved out of beta earlier this mon...,2007/05/24,Series C,$10 M,Sequoia,10.0,https://www.linkedin.com/company/sequoia
German consumer loans marketplace Finanzcheck closes ?33M Series C,https://techcrunch.com/2016/04/06/german-consumer-loans-marketplace-finanzcheck-closes-e33m-series-c/,"In Europe, London tends to grab most of the fintech limelight but other tech hubs in the continent are producing their fair share of fintech companies with comparative success, not least in Germany. E...",2016/04/06,Series C,$39.3 M,Finanzcheck,39.3,https://www.linkedin.com/company/finanzcheck-de
Zoomdata Snares $25 Million Series C Led By Goldman Sachs,https://techcrunch.com/2016/02/16/zoomdata-snares-25-million-series-c-led-by-goldman-sachs/,"Zoomdata, a company that's trying to transform business intelligence by connecting to both modern and traditional data sources at scale, announced a $25 million Series C round today. The investment wa...",2016/02/16,Series C,$25 M,Zoomdata,25.0,https://www.linkedin.com/company/zoomdata
"SnagAJob.com Snags $27 Million Series C From August Capital, Others",https://techcrunch.com/2011/03/10/snagajob-com-snags-27-million-series-c-from-august-capital-others/,"SnagAJob.com, an online community of hourly workers and provider of hourly workforce management solutions, this morning announced that it has secured $27 million in Series C funding in a round led by ...",2011/03/10,Series C,$27 M,SnagAJob.com,27.0,https://www.linkedin.com/company/snagajob
Marketing tech company Zeta Global raises $140M at a $1.3B valuation,https://techcrunch.com/2017/04/27/marketing-tech-company-zeta-global-raises-140m-at-a-1-3-billion-valuation/,"Zeta Global, the marketing tech company that has recently acquired the likes of eBay's enterprise arm and Acxiom Impact, is preparing for another round of acquisitions and investments in its technolog...",2017/04/27,,$140 M,Zeta Global,140.0,https://www.linkedin.com/company/zetainteractive
Argentinian E-Commerce Leader Avenida Gets $30M Series C Round From Naspers And Tiger Global,https://techcrunch.com/2015/11/20/argentinian-e-commerce-leader-avenida-gets-30m-series-c-round-from-naspers-and-tiger-global/,Avenida is set on cementing its leadership position Argentina's e-commerce market after a $30 million Series C led by Naspers with participation from Tiger Global (both firms are returning investors)....,2015/11/20,Series C,$30 M,Avenida,30.0,https://www.linkedin.com/company/avenida
Madison Reed Locks In $16.1 Million Series C To Grow The Business And Push Into Television,https://techcrunch.com/2015/09/28/madison-reed-locks-in-16-1-million-series-c-to-grow-the-business-and-push-into-television/,"At-home professional hair color delivery startup Madison Reed tells us they've pulled in $16.1 million in Series C financing to ""scale the business and invest in expanding marketing, specifically on T...",2015/09/28,Series C,$16.1 M,Madison Reed,16.1,https://www.linkedin.com/company/madison-reed
"PubNub Expands Series C To $25M, Banks On IoT To Boost Business On Its Messaging Network",https://techcrunch.com/2015/10/14/pubnub-expands-series-c-to-25m-banks-on-iot-to-boost-business-on-its-messaging-network/,"PubNub, the startup that has built a data network that carries messaging for apps, IoT hardware and other low-latency services, is today announcing that it has extended and closed its Series C round. ...",2015/10/14,Series C,$25 M,PubNub Expands,25.0,https://www.linkedin.com/company/pubnub
"LimeRoad, A Fashion Scrapbooking Site Based In India, Scoops Up $30M Series C",https://techcrunch.com/2015/03/30/limeroad-seriesc/,"LimeRoad, a New Delhi-based site that lets users create and share collages of fashion product, announced today that it has raised a $30 million series C led by Tiger Global, with participation from Li...",2015/03/30,Series C,$30 M,LimeRoad,30.0,https://www.linkedin.com/company/limeroad-com
Pax Labs Heats Up With $46.7 Million In Series C Funding,https://techcrunch.com/2015/06/10/pax-labs-heats-up-with-46-7-million-in-series-c-funding/,"Pax Labs, the folks responsible for the Pax botanical vaporizer, have today announced a massive round of funding. The company is receiving $46.7 million in Series C financing led by existing investors...",2015/06/10,Series C,$46.7 M,Pax Labs,46.7,https://www.linkedin.com/company/pax-labs
Drone Racing League raises a $20M Series B ahead of its 2nd season,https://techcrunch.com/2017/06/12/drone-racing-league-raises-a-20m-series-b-ahead-of-its-2nd-season/,"Drone Racing League has closed on $20M in Series B funding, led by U.K telecommunications company Sky, Liberty Media Corporation (which owns the Formula 1 racing brand) and Lux Capital. This new fundi...",2017/06/12,Series B,$20 M,Racing League,20.0,https://www.linkedin.com/company/the-drone-racing-league
